% python sample_code.py
train loss:0.34821615881829887
train loss:0.3498923534599442
train loss:0.31422515808699175
train loss:0.29218090596326574
train loss:0.2280827610951043
train loss:0.4152131074457408
train loss:0.3619389540562039
train loss:0.3478097640519537
train loss:0.2730140506835974
train loss:0.2241226359796386
train loss:0.3666098860690779
train loss:0.2504307652099433
train loss:0.31662101820799426
train loss:0.29669987283941074
train loss:0.26127220988424793
train loss:0.2722775860392233
train loss:0.3431724642693203
train loss:0.23641972579837658
train loss:0.34527504369369383
train loss:0.3838275371683145
train loss:0.30020288642270326
train loss:0.43450298237568313
train loss:0.20318246287985298
train loss:0.23399856311867637
train loss:0.2808944912674772
train loss:0.2333248690136687
train loss:0.3608707316336034
train loss:0.27311035229377867
train loss:0.3722987688157115
train loss:0.3009636039040365
train loss:0.20327450639064765
train loss:0.46510659293696166
train loss:0.2949447572883013
train loss:0.5573355195680783
train loss:0.17171161504493476
train loss:0.2313663819107396
train loss:0.2657756920469021
train loss:0.1726128099951176
train loss:0.3455260593226759
train loss:0.29424857174815605
train loss:0.17727962671985784
train loss:0.2268204400165985
train loss:0.25774654320093116
train loss:0.2861276880406278
train loss:0.20488856810299358
train loss:0.2327526729545924
train loss:0.3359344854307175
train loss:0.16909775454786996
train loss:0.2772173704100288
=== epoch:5, train acc:0.906, test acc:0.89 ===
train loss:0.31183427187981283
train loss:0.18123179529696254
train loss:0.3114233456785977
train loss:0.24813789721678958
train loss:0.15959699327053803
train loss:0.3702040523816628
train loss:0.19846458788117233
train loss:0.16380961891318616
train loss:0.1410772630767274
train loss:0.14796940539754538
train loss:0.19255413384181022
train loss:0.2820991364466682
train loss:0.34216284563632887
train loss:0.2132027646705537
train loss:0.27730848416629306
train loss:0.3190702800378368
train loss:0.1552298967055024
train loss:0.22989489960984025
train loss:0.16235258010239406
train loss:0.18511676468322694
train loss:0.13787969929858154
train loss:0.1940778154436494
train loss:0.29704194768412845
train loss:0.31405134418763764
train loss:0.2588257319596117
train loss:0.16326676738759144
train loss:0.20846373014726552
train loss:0.2644744173116451
train loss:0.11801585679015285
train loss:0.3081025066843724
train loss:0.15979075792622516
train loss:0.23385491939166583
train loss:0.13066474095090486
train loss:0.17410558282898583
train loss:0.1868981664242733
train loss:0.17388923524237257
train loss:0.20598373569284237
train loss:0.22892466766694766
train loss:0.11797354430451609
train loss:0.2508336065022957
train loss:0.2633031300962037
train loss:0.14262969468513154
train loss:0.11603852004033163
train loss:0.1695544199587774
train loss:0.21119879241821038
train loss:0.2806268451295531
train loss:0.20913478775370287
train loss:0.4779521538601035
train loss:0.10361697281980342
=============== Final Test Accuracy ===============
test acc:0.909
Saved Network Parameters!
